CNS,Dat. Instalação,Denominação,Tipo,Atribuições,Status,Situação jurídica da serventia,Data decisão,UF,Cidade,E-mail contato,Dat. ingresso responsável,Responsável,Substituto
01.318-5,20/01/1992,"REGISTRO DE IMÓVEIS, TÍTULOS, DOCUMENTOS E PESSOAS JURÍDICAS DE TEODORO SAMPAIO",Privatizada,Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,27/06/2019,BA,TEODORO SAMPAIO,teodorosampaiori@gmail.com,2024-07-15,IURI ARAÚJO LEMOS,REBEKA BARBOSA CAMPOS
01.320-1,24/04/1989,REGISTRO DE IMÓVEIS E TÍTULOS E DOCUMENTOS E PESSOAS JURÍDICAS,Privatizada,Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,12/07/2010,BA,LAURO DE FREITAS,ivania.rodrigues@rilaurodefreitas.com.br,2012-03-26,IVANIA MARIA MESQUITA RODRIGUES,DELSON MELO DE MESQUITA
01.321-9,15/05/1955,"CARTÓRIO DE REGISTRO DE IMÓVEIS, HIPOTECAS  E TITULOS  E DOCUMENTOS",Privatizada,Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,12/07/2010,BA,LIVRAMENTO DE NOSSA SENHORA,ca.cri.lto@hotmail.com,2024-07-12,CÉLIA DE CASTRO MEIRA,ARIVALDE VIANA ALVES
01.322-7,02/03/1903,"CARTÓRIO DE REGISTRO DE IMÓVEIS, HIPOTECAS  E TITULOS  E DOCUMENTOS",Privatizada,Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,30/03/2017,BA,CASA NOVA,casanovaregistrodeimoveis@gmail.com,2024-07-05,KAMILLA SILVA MIRANDA,ALLANA FERNANDES PASSOS
01.323-5,09/07/1997,Registro de Imóveis Titulos e Documentos e Pessoas Jurídicas,Privatizada,Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,21/03/2017,BA,JAGUARIPE,rimoveistdpjjaguaripe@gmail.com,2024-07-15,ALAOR BECHLIN,OLDEMAR ANTONIO SILVA REIS
01.324-3,21/11/1991,"CARTÓRIO DE REGISTRO DE IMÓVEIS, HIPOTECAS E TÍTULOS E DOCUMENTOS, PESSOAS JURÍDICAS DE DE ACAJUTIBA/BA",Privatizada,Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,05/04/2022,BA,ACAJUTIBA,registrodeimoveisacajutiba@gmail.com,2024-07-15,LUIZ FERNANDO FONTOURA NUNES MORATO,WILMA MATOS FELIX DOS SANTOS
01.325-0,23/01/1992,"Cartório de Registro de Imóveis e Hipotecas, Títulos e Documentos e Civil das Pessoas Jurídicas de Licínio de Almeida-BA",Privatizada,Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,26/09/2018,BA,LICINIO DE ALMEIDA,licinioregistros@gmail.com,2024-07-06,JOSE RUBENS DA SILVEIRA FILHO,ELAINE LIMA DOS SANTOS
01.326-8,16/03/1994,"CARTÓRIO DE REGISTRO DE IMOVEIS, HIPOTECAS E TITULO E DOCUMENTOS",Privatizada,Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,03/05/2017,BA,RIACHAO DAS NEVES,atendimento@cartorioriachaodasneves.com.br,2024-07-10,YURI DAIBERT SALOMAO DE CAMPOS,KARINE FERREIRA MOREIRA
01.327-6,21/05/1993,"Registro de Imóveis, Hipotecas, Titulos e Documentos e Pessoas Juridicas",Privatizada,Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,22/03/2017,BA,AURELINO LEAL,registradora.aurelinoleal@gmail.com,2017-03-07,ALESSANDRA BERNADETE SABOIA DRUMMOND FONSECA,FILIPE GóES DE JESUS
01.328-4,31/10/1994,SERVENTIA EXTRAJUDICIAL DO PRIMEIRO OFÍCIO ICHU-BA,Privatizada,Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,15/02/2018,BA,ICHU,cartorioichuimoveis@gmail.com,2024-07-11,FERNANDO COIMBRA MARQUES FARIAS MAGALHÃES BISPO DE SALES,RAFAELA CEDRAZ CARNEIRO
01.329-2,12/09/1966,"REGISTRO DE IMÓVEIS, TÍTULOS, DOCUMENTOS E PESSOAS JURÍDICAS DE SÃO SEBASTIÃO DO PASSÉ",Privatizada,Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,21/11/2019,BA,SAO SEBASTIAO DO PASSE,contato@risspasse.com.br,2024-07-15,IURI ARAÚJO LEMOS,VALERIA REIS SANTIAGO
01.330-0,14/04/1916,"CARTÓRIO DE REGISTRO DE IMÓVEIS, TÍTULOS  E DOCUMENTOS E CIVIL DAS PESSOAS JURÍDICAS",Privatizada,Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,21/06/2018,BA,REMANSO,imoveisremansobahia@gmail.com,2024-07-04,DAIANA TAISE PAGLIARINI,CARLA FRANCISCA DOS SANTOS VIANA
01.331-8,22/08/1997,"Registro de Imóveis, Títulos e Documentos e das Pessoas Jurídicas de São José do Jacuípe",Privatizada,Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,21/09/2023,BA,SAO JOSE DO JACUIPE,registrossjc@gmail.com,2024-07-15,PEDRO HENRIQUE SILVA AMARAL,BRUNA SILVA VILAS BOAS
01.332-6,01/04/2024,OFÍCIO ÚNICO DA COMARCA DE TANQUE NOVO/BA,Privatizada,Notas / Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,12/06/2017,BA,TANQUE NOVO,cartoriomartinsguedes@gmail.com,2024-07-15,SUZANA MARTINS GUEDES,NILDILEISE SILVA CARVALHO DA SILVA
01.333-4,13/05/1966,"Registro de Imóveis, Títulos e Documentos e Civil das Pessoas Jurídicas de Cruz das Almas",Privatizada,Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,06/01/2025,BA,CRUZ DAS ALMAS,ricruzdasalmas@gmail.com,2024-12-27,RAFAEL DOS SANTOS RAMOS RUSSO,-
01.334-2,09/07/1874,"CARTÓRIO DE REGISTRO DE IMÓVEIS, HIPOTECAS  E TITULOS  E DOCUMENTOS DA COMARCA DE IPIRA",Privatizada,Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,30/03/2017,BA,IPIRA,cartorioimoveisipira@gmail.com,2017-02-09,PLÍNIO DE CASTRO PARANHOS FERREIRA,MARCELO CAMPELLO PARANHOS FERREIRA
01.335-9,18/01/2017,CARTÓRIO DE REGISTRO DE IMÓVEIS E RTD DE MUNDO NOVO,Privatizada,Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,10/08/2017,BA,MUNDO NOVO,imoveismundonovo@gmail.com,"0000-00-00, 2024-03-21",MONA LISA DE AQUINO SOUZA,RENATA MOREIRA SANTOS
01.339-1,01/08/2001,SERVENTIA EXTRAJUDIAL DO 1o OFICIO DE CALDEIRAO GRANDE,Privatizada,Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,20/02/2018,BA,CALDEIRAO GRANDE,imoveiscaldeirao@gmail.com,2018-01-30,DALTON CAVALCANTI REIS,ANDERSON SANTOS DE OLIVEIRA
01.349-0,05/08/1997,"CARTÓRIO DE REGISTRO DE IMÓVEIS,TÍTULOS E DOCUMENTOS E PESSOAS JURÍDICAS DE SANTA LUZIA - BA",Privatizada,Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,08/08/2019,BA,SANTA LUZIA,cartoriosantaluzia@riuna.com.br,2024-07-15,ANDREA MARIA PIGNATTI,JIZELI MENDES SOUZA
01.352-4,17/04/1963,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DA COMARCA DE SAPEAÇU,Privatizada,Notas / Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,20/02/2018,BA,SAPEACU,oficiounicosapeacu24@gmail.com,2024-07-15,ALAOR BECHLIN,SANDRA MARIA DOS SANTOS VELOSO
01.353-2,26/03/1949,"CARTÓRIO DE REGISTRO DE IMÓVEIS, HIPOTECAS  E TITULOS  E DOCUMENTOS",Privatizada,Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,07/08/2025,BA,SEABRA,registroimoveisseabra@gmail.com,2025-08-01,DAIANA TANAN DA SILVA NUNES,ALBEMIRA SALES XAVIER
01.354-0,09/07/1975,SÉTIMO OFÍCIO DE REGISTRO DE IMÓVEIS E HIPOTECAS DE SALVADOR,Privatizada,Registro de Imóveis,Ativo,PROVIDO,12/07/2010,BA,SALVADOR,oficial@7risalvador.com.br,2024-07-09,JOÃO BORGES HEGOUET NETO,EDNA MARIA DOS SANTOS HEGOUET
01.369-8,12/10/1991,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE BAIXA GRANDE,Privatizada,Notas / Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,07/04/2017,BA,BAIXA GRANDE,cartorios.baixagrande@gmail.com,2024-07-20,TÂMARA MOURA SILVA,LUANA BORGES DE SOUZA
01.377-1,23/06/1955,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE CRISTÓPOLIS,Privatizada,Notas / Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,19/03/2021,BA,CRISTOPOLIS,TabelionatoCristopolis@hotmail.com,2024-07-16,THAMARA DA SILVA PEREIRA,ADRIANO PAULO KLEIN
01.386-2,14/07/1960,Ofício Único de Itaetê,Privatizada,Notas / Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,22/02/2018,BA,ITAETE,tabelionatoitaete@gmail.com,2024-07-25,FERNANDO MARTINS MONTENEGRO GOMES,CAROLINA VIANNA DE SOUZA
01.387-0,09/02/1946,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE MAIRI/BA,Privatizada,Notas / Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,30/03/2017,BA,MAIRI,tabelionato.mairi@gmail.com,2024-05-01,TIAGO OLIVEIRA SILVA,JAMILLE RIOS MAIA BORGES
01.389-6,19/11/1962,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE CANSANÇÃO,Privatizada,Notas / Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,30/09/2024,BA,CANSANCAO,cartoriocansancao@gmail.com,2017-02-16,CAMILA BARROS PEREIRA TOJAL,JUDITH JEINE FRANçA BARROS
01.396-1,12/12/1967,Serventia Extrajudicial do Ofício Único de Santaluz-BA,Privatizada,Notas / Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,08/05/2017,BA,SANTALUZ,notas.santaluz@gmail.com,2024-07-17,GIOVANI GUITTI GIANELLINI,DAIANE SILVA FERREIRA MOURA
01.397-9,14/08/1955,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE VÁRZEA DO POÇO,Privatizada,Notas / Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,20/02/2018,BA,VARZEA DO POCO,cartorios.varzeadopoco@gmail.com,2024-08-08,TÂMARA MOURA SILVA,MAIARA OLIVEIRA ALMEIDA
01.400-1,09/06/1883,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DA COMARCA DE ITUAÇU,Privatizada,Notas / Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,11/06/2025,BA,ITUACU,oficiounicoituacu@gmail.com,2025-05-28,SORAYA DA SILVA FIGUERÊDO,RICARDO MACHADO AGUIAR
01.407-6,18/11/1851,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE QUEIMADAS/BA,Privatizada,Notas / Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,29/03/2017,BA,QUEIMADAS,cartoriovinhas@hotmail.com,2024-07-10,KARINE SANTOS VINHAS,LOIZE KETYLLY GAMA SANTOS
01.412-6,23/04/1945,CARTÓRIO DO OFÍCIO ÚNICO DE CURAÇÁ/BA,Privatizada,Notas / Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,28/03/2017,BA,CURACA,cartorionotasprotestocuraca@gmail.com,2024-07-10,GLóRIA JANAINA BESERRA DOS SANTOS,SABRINA BESERRA SOUZA NERES
01.417-5,05/04/1934,"TABELIONATO DE NOTAS COM FUNÇÃO DE PROTESTO DE TÍTULOS, REGISTRO DE IMÓVEIS E HIPOTECAS, TÍTULOS E DOCUMENTOS E CIVIL DAS PESSOAS JURÍDICAS,",Privatizada,Notas / Protesto de Títulos / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,28/03/2017,BA,COARACI,tabelionatocoaraci@outlook.com,2024-07-12,GLICON CEDRO RAMOS,JAMILLE FERRAZ DE OLIVEIRA CEDRO
01.418-3,30/11/1896,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DA COMARCA DE SANTANA,Privatizada,Notas / Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,28/03/2017,BA,SANTANA,cartoriosantanaba@hotmail.com,2024-07-09,FERNANDA MATOS RABELO,MARCELO MONÇÃO DE JESUS
01.422-5,13/11/1991,Serventia Extrajudicial do Ofício Único da Comarca de Teofilândia/BA,Privatizada,Notas / Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,03/06/2022,BA,TEOFILANDIA,np.teofilandia@gmail.com,0000-00-00,CLEBER LEANDRO LUCENA,DEBORA SANTOS SILVA
01.432-4,22/02/2024,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DA COMARCA DE PARAMIRIM,Privatizada,Notas / Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Contratos Marítimos / Registro de Distribuição / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,25/06/2025,BA,PARAMIRIM,oficiounicoparamirim@gmail.com,2025-06-03,SUZANA MARTINS GUEDES,MARINA CARVALHO SANTOS
01.436-5,11/10/1959,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DA COMARCA DE OLIVEIRA DOS BREJINHOS/BA,Privatizada,Notas / Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,16/06/2025,BA,OLIVEIRA DOS BREJINHOS,oficiounicobrejinhos@gmail.com,2025-05-05,FERNANDO ROGÉRIO GONÇALVES AMORIM,PEDRO HENRIQUE OLIVEIRA AMORIM
01.450-6,27/09/1827,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DA COMARCA DE SANTA TEREZINHA-BA,Privatizada,Notas / Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,27/03/2018,BA,SANTA TEREZINHA,tabelionato-sta@hotmail.com,2024-08-06,MANOEL BONFIM MORAES DE SOUZA,LAIS GUEDES SANTOS MORAES PEREIRA
01.451-4,27/11/1954,SERVENTIA  EXTRAJUDICIAL DO OFICIO ÚNICO,Privatizada,Notas / Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,10/07/2019,BA,RETIROLANDIA,cartoriohamiltonretiro@gmail.com,2024-07-05,HAMILTON LOPES DO CARMO,WANDSON SIMõES OLIVEIRA
01.453-0,21/01/1956,Serventia Extrajudicial do Ofício Único de Lapão-BA,Privatizada,Notas / Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,21/08/2017,BA,LAPAO,cartoriolapao@gmail.com,2024-08-07,DIEGO PETER PETERLE,OZEIAS OLIVEIRA MIRANDA
01.455-5,13/08/1859,CARTÓRIO COSTA E SILVA,Privatizada,Notas / Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,27/03/2017,BA,SENTO SE,cartoriosentose@gmail.com,2024-06-03,ÉVELLIN COSTA E SILVA,GEDERSON LINO DE MORAES
01.463-9,30/05/1913,SERVENTIA EXTRAJUDICIAL DO OFÍCIO UNICO DE GANDU - BA,Privatizada,Notas / Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,06/03/2025,BA,GANDU,cartorio.gandu@gmail.com,2025-02-10,ISABELLE CERQUEIRA SILVA,THALITA MARAMBAIA DE SOUZA NOBRE
01.464-7,24/07/1939,SERVENTIA EXTRAJUDICIAL DO OFICIO ÚNICO DA COMARCA DE OLINDINA,Privatizada,Notas / Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,25/05/2017,BA,OLINDINA,oficiounicoolindina25@gmail.com,2024-07-14,LíBIA CAVALCANTI QUEIROZ DE MELO,ALLAN DO NASCIMENTO SANTOS
01.469-6,30/01/1992,OFÍCIO ÚNICO DE SÁTIRO DIAS/BA,Privatizada,Notas / Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,04/08/2020,BA,SATIRO DIAS,tabelionatosatirodiasba@gmail.com,2024-07-15,LAURA PEDREIRA DRUMMOND GORDILHO JOAQUIM DE CARVALHO,RODRIGO DE CARVALHO REIS
01.481-1,28/07/1988,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE CÂNDIDO SALES/BA,Privatizada,Notas / Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,17/04/2017,BA,CANDIDO SALES,oficiounicocandidosales@gmail.com,2024-08-02,THIAGO GROSSI FARIA,GABRIEL DA SILVA LEAL
01.484-5,04/06/1860,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO,Privatizada,Notas / Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,20/04/2023,BA,SANTA RITA DE CASSIA,tabelionato.santaritadecassia@gmail.com,2024-07-15,VALéRIA TANúS PEREIRA LOPES,-
01.485-2,27/12/1933,OFÍCIO ÚNICO,Privatizada,Notas / Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,02/10/2024,BA,BARRA DO MENDES,tabelionatomorrodochapeu@gmail.com,2024-10-01,ADA GUIMARÃES SANTOS,LISA GOMES MARTINS BATISTA
01.487-8,08/02/1882,SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO DE UBAÍRA/BA,Privatizada,Notas / Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,20/04/2023,BA,UBAIRA,tnp.ubaira@gmail.com,2024-06-12,ÁLVARO DIRCEU DE MEDEIROS CHAVES,CâNDIDA LECI ALVES BRAGA
01.505-7,14/10/1946,CARTÓRIO DE CAMAMU - SERVENTIA EXTRAJUDICIAL DO OFICIO ÚNICO DE CAMAMU,Privatizada,Notas / Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,28/11/2018,BA,CAMAMU,oficiounicocamamu@gmail.com,"1990-08-22, 2024-07-15",CAROLINA NISHIWAKI,LARISSA MAGALHÃES CORREIA
01.508-1,19/04/1989,Serventia Extrajudicial do Ofício Único,Privatizada,Notas / Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,12/07/2010,BA,ITARANTIM,eronforum@hotmail.com,2024-07-15,ERON SANTOS,HELLEM GOMES SANTOS
01.540-4,01/01/1946,REGISTRO DO 3º OFÍCIO DE IMÓVEIS E HIPOTECAS DE SALVADOR,Privatizada,Registro de Imóveis,Ativo,PROVIDO,12/07/2010,BA,SALVADOR,CONTATO@3RISALVADOR.COM.BR,2024-07-15,MARIVANDA SOUZA NEDER REZAK,RAFAEL FERREIRA IVO VIANA
01.545-3,04/10/1955,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO,Privatizada,Notas / Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,07/11/2025,BA,TERRA NOVA,oficiounicoterranovaba@gmail.com,2017-03-07,JAIRO LESSA ALONSO CARRIçO,-
01.554-5,14/12/1924,Cartório do 1º oficio,Privatizada,Notas / Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Distribuição / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,12/07/2010,CE,MILAGRES,1oficio.milagres@gmail.com,2024-07-11,FRANCISCA ALVES FéLIX DANTAS,JACOB JOSÉ FELIX NETTO
01.555-2,10/01/1973,1º OFICIO CARTÓRIO DE NOTAS,Oficializada,Notas / Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Distribuição / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,12/07/2010,CE,OROS,cartoriojpqueiroz@gmail.com,2024-08-02,ANA RAQUEL TEOFILO DE QUEIROZ,BRUNA TEÓFILO DE QUEIROZ LEITE MATIZ
01.559-4,26/11/1998,3º Oficio da Comarca de Maracanaú-CE (Cartório Aguiar Rocha),Privatizada,Registro de Imóveis,Ativo,PROVIDO,12/07/2010,CE,MARACANAU,CRIMARACANAU@hotmail.COM,2024-08-02,ALCIMOR AGUIAR ROCHA JUNIOR,ELIANA SANTOS PEREIRA HOLANDA
01.560-2,17/06/1975,2° Ofício - Cartório Pinho,Privatizada,Notas / Protesto de Títulos / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,12/07/2010,CE,NOVO ORIENTE,cartoriopinho@yahoo.com.br,2024-08-08,MANOEL ALEXANDRE DE PINHO,MARIA ARAÚJO TEIXEIRA
01.561-0,06/07/1998,2° OFICIO DE REGISTRO DE IMOVEIS,Oficializada,Notas / Protesto de Títulos / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,12/07/2010,CE,HORIZONTE,adm@cartoriopioramos.com.br,2024-07-11,APARECIDA ILKA FREITAS RAMOS,APARECIDA ILZE FREITAS
01.563-6,07/07/1990,"2º Cartório de Notas, Protestos e Reg. Imóveis",Oficializada,Notas / Protesto de Títulos / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,12/07/2010,CE,NOVA OLINDA,zezefreire@hotmail.com,2024-07-09,JOSE FREIRE DE ALENCAR,ALEXSANDRA FERNANDES DE AQUINO
01.564-4,26/09/1935,2º Ofício da Comarca de Pacatuba - Ceará,Privatizada,Notas / Protesto de Títulos / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,12/07/2010,CE,PACATUBA,administrativo@elinalvahenrique.not.br,2024-08-06,ELINALVA HENRIQUE DA SILVA,-
01.566-9,01/12/1944,2º OFÍCIO DE REGISTRO DE IMÓVEIS DE FORTALEZA,Privatizada,Registro de Imóveis,Ativo,PROVIDO,12/07/2010,CE,FORTALEZA,cartorio@alvaromello.com.br,2024-07-15,ANA TERESA ARAÚJO MELLO FIUZA,MARGARETE MOREIRA MACIEL
01.567-7,30/09/1952,Cartório Norões Brito - Ofício de Notas e Registros Públicos,Privatizada,Notas / Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Distribuição / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,25/01/2021,CE,REDENCAO,contato@cartorionoroesbrito.com.br,2020-03-02,RENAN MOREIRA DE NORÕES BRITO,FRANCISCO MOESIO RODRIGUES CAVALCANTE
01.568-5,05/03/1947,2º OFÍCIO NOTARIAL E DE REGISTROS PÚBLICOS,Privatizada,Notas / Protesto de Títulos / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,26/07/2024,CE,BOA VIAGEM,cartoriovieirabv@hotmail.com,2024-07-12,RITA DE CASSIA BEZERRA DA SILVA,-
01.569-3,03/07/1923,MORADA NOVA CARTÓRIO CHAGAS FILHO 2 OFICIO,Privatizada,Notas / Protesto de Títulos / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,06/05/2024,CE,MORADA NOVA,2oficiomn@gmail.com,2024-07-24,GERMANNA GABRIELLA AMORIM FERREIRA,MARIA GILVANIRA DE BRITO SOUSA
